colonia,precio_m2_20,precio_m2_22,precio_m2_24,precio_m2_26,Tam_muestra
Acacias,33629,36066,43442,47288,41
Actipan,33864,36318,43747,47619,37
Alamos,27299,29277,35265,38387,26
Americas Unidas,25514,27363,32959,35877,21
Ampliacion Napoles,25971,27853,33550,36520,17
Atenor Salas,28480,30544,36792,40049,16
Credito Constructor,28181,30223,36405,39628,14
Del Carmen,30864,33101,39871,43400,14
Del Valle Centro,35557,38134,45934,50000,13
Del Valle Norte,32397,34745,41851,45556,11
Del Valle Sur,35557,38134,45934,50000,10
Ermita,1378,1478,1780,1938,10
Extremadura Insurgentes,28921,31017,37362,40669,8
Independencia,21307,22852,27526,29962,7
Insurgentes Mixcoac,39208,42049,50650,55133,7
Insurgentes San Borja,27734,29744,35828,39000,7
Letran Valle,24695,26485,31902,34726,7
Merced Gomez,22416,24040,28957,31521,6
Miravalle,27352,29334,35334,38462,6
Mixcoac,23858,25587,30820,33548,6
Moderna,25877,27752,33429,36388,6
Napoles,37687,40418,48685,52994,5
Narvarte Oriente,32407,34755,41864,45570,4
Narvarte Poniente,25361,27199,32763,35663,4
Nativitas,1390,1491,1796,1955,4
Periodista,28130,30168,36339,39555,3
Piedad Narvarte,27799,29814,35912,39091,3
Portales Norte,2746,2945,3548,3862,3
Portales Sur,21295,22839,27510,29945,3
Postal,16634,17840,21489,23391,3
Residencial Emperadores,31050,33300,40111,43662,3
San Jose Insurgentes,29424,31556,38011,41375,2
San Juan,11070,11872,14300,15566,2
San Simon Ticumac,11122,11928,14367,15639,2
Santa Cruz Atoyac,37781,40519,48807,53127,2
Santa Maria Nonoalco,25285,27118,32664,35556,2
Tlacoquemecatl,31440,33719,40616,44211,1
Vertiz Narvarte,28256,30304,36503,39734,1
Xoco,33040,35434,42682,46460,1
