colonia,precio_m2
Acacias,47288.0
Actipan,47619.0
Alamos,38387.0
Americas Unidas,35877.0
Ampliacion Napoles,36520.0
Atenor Salas,40049.0
Credito Constructor,39628.0
Del Carmen,43400.5
Del Valle Centro,50000.0
Del Valle Norte,45556.0
Del Valle Sur,50000.0
Ermita,1938.0
Extremadura Insurgentes,40669.0
Independencia,29962.5
Insurgentes Mixcoac,55133.0
Insurgentes San Borja,39000.0
Letran Valle,34726.0
Merced Gomez,31521.0
Miravalle,38462.0
Mixcoac,33548.5
Moderna,36388.0
Napoles,52994.5
Narvarte Oriente,45570.0
Narvarte Poniente,35663.0
Nativitas,1955.0
Periodista,39555.5
Piedad Narvarte,39091.0
Portales Norte,3862.5
Portales Sur,29945.5
Postal,23391.0
Residencial Emperadores,43662.0
San Jose Insurgentes,41375.5
San Juan,15566.5
San Simon Ticumac,15639.5
Santa Cruz Atoyac,53127.0
Santa Maria Nonoalco,35556.0
Tlacoquemecatl,44211.0
Vertiz Narvarte,39734.0
Xoco,46460.0
