colonia,precio_m2_20,precio_m2_22,precio_m2_24,precio_m2_26
Acacias,33629.0106856634,36066.0480854853,43442.955031166515,47288.0
Actipan,33864.402382012464,36318.4982190561,43747.0410173642,47619.0
Alamos,27299.03639804096,29277.351291184325,35265.70619991095,38387.0
Americas Unidas,25514.04196349065,27363.001335707922,32959.797361976845,35877.0
Ampliacion Napoles,25971.313446126445,27853.41050756901,33550.5142475512,36520.0
Atenor Salas,28480.97295191451,30544.94078361531,36792.566952359746,40049.0
Credito Constructor,28181.57747105966,30223.848619768472,36405.79897595725,39628.0
Del Carmen,30864.402771593945,33101.09372217275,39871.55239870881,43400.5
Del Valle Centro,35557.65805877114,38134.46126447016,45934.43900267141,50000.0
Del Valle Norte,32397.293410507566,34745.070347284054,41851.78606411398,45556.0
Del Valle Sur,35557.65805877114,38134.46126447016,45934.43900267141,50000.0
Ermita,1378.2148263579697,1478.0917186108636,1780.4188557435439,1938.0
Extremadura Insurgentes,28921.887911843274,31017.808103294745,37362.15399599287,40669.0
Independencia,21307.92659171861,22852.075912733748,27526.212572350843,29962.5
Insurgentes Mixcoac,39208.007235084595,42049.34505788067,50650.06851068566,55133.0
Insurgentes San Borja,27734.973285841494,29744.87978628673,35828.8624220837,39000.0
Letran Valle,24695.504674977736,26485.14603739982,31902.386576135348,34726.0
Merced Gomez,22416.258793410507,24040.727070347282,28957.98903606411,31521.0
Miravalle,27352.372885129116,29334.55298308103,35334.60785841496,38462.0
Mixcoac,23858.121827693678,25587.079474621547,30820.630537622437,33548.5
Moderna,25877.44122885129,27752.735529830807,33429.24732858415,36388.0
Napoles,37687.20619991095,40418.334149599286,48685.4525545414,52994.5
Narvarte Oriente,32407.249554764025,34755.747996438105,41864.647707034725,45570.0
Narvarte Poniente,25361.85518699911,27199.78584149599,32763.19796304541,35663.0
Nativitas,1390.3044300979518,1491.0574354407834,1796.0365650044523,1955.0
Periodista,28130.01886687444,30168.55365093499,36339.19403940338,39555.5
Piedad Narvarte,27799.68822350846,29814.284505788066,35912.46310106856,39091.0
Portales Norte,2746.8290850400713,2945.88713268032,3548.4354129563667,3862.5
Portales Sur,21295.836987978626,22839.110195903828,27510.594863089937,29945.5
Postal,16634.583593054318,17840.06366874443,21489.04925422974,23391.0
Residencial Emperadores,31050.369323241317,33300.53695458593,40111.789514692784,43662.0
San Jose Insurgentes,29424.31762021371,31556.648040961707,38011.20761910062,41375.5
San Juan,11070.16568343722,11872.401825467496,14300.76889470169,15566.5
San Simon Ticumac,11122.079864203028,11928.078138913623,14367.833175645592,15639.5
Santa Cruz Atoyac,37781.433993766695,40519.39047195013,48807.17881789848,53127.0
Santa Maria Nonoalco,25285.761798753338,27118.178094390023,32664.898263579693,35556.0
Tlacoquemecatl,31440.792408726622,33719.25333926981,40616.14965494211,44211.0
Vertiz Narvarte,28256.959706144255,30304.69367764915,36503.17998664292,39734.0
Xoco,33040.17586821015,35434.541406945675,42682.28072128227,46460.0
