url,price,price_text,currency,operation,property_type,neighborhood,city,state,built_m2,land_m2,publication_age,published_date,scraped_at,source_page
https://www.inmuebles24.com/propiedades/clasificado/veclcain-av-magdalena-40-col.-del-valle-norte-benito-juarez-150662459.html,680000,"MN 680,000",MXN,venta,Casa,Del Valle Norte,Benito Juárez,Ciudad de México,120.0,120.0,Publicado desde ayer,2026-07-29T19:59:39Z,2026-07-30T05:34:56.555274+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-c.-don-juan-48-nativitas-benito-juarez-03500-ciudad-150663554.html,690000,"MN 690,000",MXN,venta,Casa,Nativitas,Benito Juárez,Ciudad de México,210.0,200.0,Publicado desde ayer,2026-07-29T21:21:33Z,2026-07-30T05:34:56.555274+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-adaptada-para-oficina-a-la-venta-letran-valle-150641397.html,16000000,"MN 16,000,000",MXN,venta,Casa,Letrán Valle,Benito Juárez,Ciudad de México,511.0,276.0,Publicado hace 3 días,2026-07-27T18:26:50Z,2026-07-30T05:34:56.555274+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-con-doble-construccion-en-colonia-del-valle-150641578.html,32000000,"MN 32,000,000",MXN,venta,Casa,Del Valle Centro,Benito Juárez,Ciudad de México,850.0,472.0,Publicado hace 3 días,2026-07-27T18:43Z,2026-07-30T05:34:56.555274+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-con-uso-mixto-en-portales-sur-ideal-para-150623680.html,8350000,"MN 8,350,000",MXN,venta,Casa,Portales Norte,Benito Juárez,Ciudad de México,220.0,103.0,Publicado hace 2 días,2026-07-24T20:25:32Z,2026-07-30T05:34:56.555274+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-de-141-m-sup2--con-4-recamaras-en-venta-en-ciudad-150662927.html,560000,"MN 560,000",MXN,venta,Casa,Ciudad de los Deportes,Benito Juárez,Ciudad de México,339.0,141.0,Publicado desde ayer,2026-07-29T20:39:55Z,2026-07-30T05:34:56.555274+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-de-152-m-sup2--con-2-recamaras-en-venta-en-san-150639838.html,552000,"MN 552,000",MXN,venta,Casa,San Simón Ticumac,Benito Juárez,Ciudad de México,152.0,152.0,Publicado hace 3 días,2026-07-27T16:58:21Z,2026-07-30T05:34:56.555274+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-de-1522-m-sup2--con-2-recamaras-en-venta-en-san-150655880.html,552000,"MN 552,000",MXN,venta,Casa,San Simón Ticumac,Benito Juárez,Ciudad de México,1522.0,1522.0,Publicado hace 2 días,2026-07-28T23:02:36Z,2026-07-30T05:34:56.555274+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-de-174-m-sup2--con-3-recamaras-en-venta-en-ermita-150639793.html,620000,"MN 620,000",MXN,venta,Casa,Ermita,Benito Juárez,Ciudad de México,320.0,174.0,Publicado hace 3 días,2026-07-27T16:55:23Z,2026-07-30T05:34:56.555274+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-de-179-m-sup2--con-3-recamaras-en-venta-en-150662828.html,700000,"MN 700,000",MXN,venta,Casa,Nativitas,Benito Juárez,Ciudad de México,858.0,179.0,Publicado desde ayer,2026-07-29T20:29:09Z,2026-07-30T05:34:56.555274+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-de-1792-m-sup2--con-3-recamaras-en-venta-en-150655720.html,700000,"MN 700,000",MXN,venta,Casa,Nativitas,Benito Juárez,Ciudad de México,3582.0,1792.0,Publicado hace 2 días,2026-07-28T22:43:32Z,2026-07-30T05:35:54.450820+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-de-2542-m-sup2--con-4-recamaras-en-venta-en-150655325.html,1000000,"MN 1,000,000",MXN,venta,Casa,Portales Sur,Benito Juárez,Ciudad de México,6112.0,2542.0,Publicado hace 2 días,2026-07-28T22:06:30Z,2026-07-30T05:35:54.450820+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-de-5092-m-sup2--con-4-recamaras-en-venta-en-150655184.html,857000,"MN 857,000",MXN,venta,Casa,Portales Norte,Benito Juárez,Ciudad de México,12222.0,5092.0,Publicado hace 2 días,2026-07-28T21:48:07Z,2026-07-30T05:35:54.450820+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-nativitas-de-179-m-sup2--con-3-recamaras-en-150639751.html,700000,"MN 700,000",MXN,venta,Casa,Nativitas,Benito Juárez,Ciudad de México,358.0,179.0,Publicado hace 3 días,2026-07-27T16:51:46Z,2026-07-30T05:35:54.450820+00:00,https://www.inmuebles24.com/casas-en-venta-en-benito-juarez-ordenado-por-fechaonline-descendente.html.html
